pedido_id,fecha,cliente_id,cliente_nombre,ciudad,region,producto_id,producto_nombre,categoria,cantidad,precio_unitario,importe,canal,metodo_pago,valoracion
PED203930,2025-01-01,C100066,Cliente 0067,Vigo,Norte,P002,Cargador USB-C,Electrónica,4,33.08,132.32,Web,Tarjeta,4.0
PED202913,2025-01-01,C100188,Cliente 0189,Valencia,Levante,P023,Mochila urbana,Moda,3,68.01,204.03,Web,PayPal,5.0
PED204322,2025-01-01,C100062,Cliente 0063,Sevilla,Andalucía,P030,Rotuladores 24u,Papelería,1,124.92,124.92,App móvil,PayPal,5.0
PED206145,2025-01-01,C100196,Cliente 0197,Sevilla,Andalucía,P009,Bombilla inteligente,Hogar,1,86.48,86.48,Web,Tarjeta,3.0
PED205541,2025-01-01,C100000,Cliente 0001,Madrid,Centro,P022,Sudadera capucha,Moda,4,61.0,244.0,Web,Transferencia,4.0
PED200727,2025-01-01,C100246,Cliente 0247,Murcia,Levante,P005,Altavoz portátil,Electrónica,1,82.76,82.76,Web,Tarjeta,
PED207522,2025-01-01,C100103,Cliente 0104,Madrid,Centro,P030,Rotuladores 24u,Papelería,2,131.17,262.34,Web,Tarjeta,4.0
PED200648,2025-01-01,C100151,Cliente 0152,Valencia,Levante,P004,Teclado mecánico,Electrónica,4,97.8,391.2,Web,Contra reembolso,3.0
PED204999,2025-01-01,C100285,Cliente 0286,Vigo,Norte,P012,Set sábanas,Hogar,2,26.87,53.74,App móvil,Contra reembolso,3.0
PED210319,2025-01-01,C100144,Cliente 0145,Vigo,Norte,P005,Altavoz portátil,Electrónica,1,96.01,96.01,Web,Transferencia,3.0
PED201498,2025-01-01,C100302,Cliente 0303,Madrid,Centro,P001,Auriculares BT,Electrónica,3,109.56,328.68,App móvil,Contra reembolso,
PED208345,2025-01-01,C100128,Cliente 0129,Zaragoza,Centro,P029,Mochila portátil,Papelería,1,72.31,72.31,Web,Contra reembolso,4.0
PED206245,2025-01-01,C100177,Cliente 0178,Barcelona,Cataluña,P025,Cinturón cuero,Moda,3,34.73,104.19,Web,PayPal,4.0
PED210203,2025-01-01,C100147,Cliente 0148,Valencia,Levante,P003,Ratón inalámbrico,Electrónica,1,111.63,111.63,Marketplace,Tarjeta,3.0
PED201555,2025-01-01,C100106,Cliente 0107,Murcia,Levante,P012,Set sábanas,Hogar,5,24.69,123.45,Web,Tarjeta,4.0
PED201681,2025-01-01,C100131,Cliente 0132,Zaragoza,Centro,P015,Esterilla yoga,Deporte,4,118.91,475.64,Web,Tarjeta,5.0
PED208523,2025-01-01,C100017,Cliente 0018,Barcelona,Cataluña,P006,Powerbank 10000mAh,Electrónica,1,97.24,97.24,App móvil,PayPal,
PED206602,2025-01-01,C100305,Cliente 0306,Barcelona,Cataluña,P008,"Monitor 24""",Electrónica,2,154.02,308.04,Web,Tarjeta,5.0
PED211479,2025-01-01,C100071,Cliente 0072,Barcelona,Cataluña,P007,Webcam HD,Electrónica,4,139.27,557.08,App móvil,Tarjeta,5.0
PED209605,2025-01-02,C100113,Cliente 0114,Bilbao,Norte,P029,Mochila portátil,Papelería,2,80.32,160.64,Web,PayPal,3.0
PED210732,2025-01-02,C100221,Cliente 0222,Bilbao,Norte,P006,Powerbank 10000mAh,Electrónica,1,98.77,98.77,App móvil,Tarjeta,
